"measure","tp","pred","pearson_cor","spearman_rho","kendall_tau","pearson_p","spearman_p","kendall_p","pearson_sig","spearman_sig","kendall_sig"
"MTSPS82","B7","fivedasc_dis_total",-0.096,-0.21,-0.212,0.767,0.514,0.381,"","",""
"MTSPS82","B7","fivedasc_imp_total",0.171,0.245,0.182,0.596,0.444,0.459,"","",""
"MTSPS82","B7","fivedasc_anx_total",0.443,0.371,0.273,0.149,0.237,0.25,"","",""
"MTSPS82","B7","fivedasc_cimg_total",0.295,0.207,0.137,0.352,0.519,0.536,"","",""
"MTSPS82","B7","fivedasc_eimg_total",-0.512,-0.077,-0.03,0.089,0.817,0.947,"","",""
"MTSPS82","B7","fivedasc_av_total",-0.542,-0.42,-0.273,0.069,0.177,0.25,"","",""
"MTSPS82","B7","fivedasc_per_total",-0.239,-0.413,-0.303,0.454,0.184,0.197,"","",""
"MTSPS82","B7","boundlessMean",-0.198,-0.385,-0.303,0.538,0.218,0.197,"","",""
"MTSPS82","B7","anxiousEgoMean",0.208,0.049,0.061,0.517,0.886,0.841,"","",""
"MTSPS82","B7","visionaryMean",-0.4,-0.231,-0.152,0.197,0.471,0.545,"","",""
"MTSPS82","bsl","age",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSPS82","bsl","LED",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSPS82","bsl","severity",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSPS82","bsl","fivedasc_util_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSPS82","bsl","fivedasc_sprit_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSPS82","bsl","fivedasc_bliss_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSPS82","bsl","fivedasc_insight_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSPS82","bsl","fivedasc_dis_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSPS82","bsl","fivedasc_imp_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSPS82","bsl","fivedasc_anx_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSPS82","bsl","fivedasc_cimg_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSPS82","bsl","fivedasc_eimg_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSPS82","bsl","fivedasc_av_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSPS82","bsl","fivedasc_per_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSPS82","bsl","boundlessMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSPS82","bsl","anxiousEgoMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSPS82","bsl","visionaryMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRCAMD","A7","age",0.674,0.503,0.394,0.016,0.099,0.086,"*","",""
"MTSRCAMD","A7","LED",-0.058,0.034,-0.029,0.881,0.931,0.916,"","",""
"MTSRCAMD","A7","severity",0.384,0.462,0.333,0.217,0.134,0.153,"","",""
"MTSRCAMD","A7","fivedasc_util_total",0.399,0.497,0.394,0.199,0.104,0.086,"","",""
"MTSRCAMD","A7","fivedasc_sprit_total",0.47,0.601,0.455,0.123,0.043,0.045,"","*","*"
"MTSRCAMD","A7","fivedasc_bliss_total",0.513,0.587,0.455,0.088,0.049,0.045,"","*","*"
"MTSRCAMD","A7","fivedasc_insight_total",0.353,0.587,0.424,0.26,0.049,0.063,"","*",""
"MTSRCAMD","A7","fivedasc_dis_total",0.18,0.371,0.273,0.575,0.237,0.25,"","",""
"MTSRCAMD","A7","fivedasc_imp_total",-0.424,-0.49,-0.364,0.17,0.11,0.116,"","",""
"MTSRCAMD","A7","fivedasc_anx_total",-0.119,-0.098,-0.091,0.713,0.766,0.737,"","",""
"MTSRCAMD","A7","fivedasc_cimg_total",0.226,0.217,0.168,0.481,0.498,0.45,"","",""
"MTSRCAMD","A7","fivedasc_eimg_total",0.1,0.175,0.152,0.758,0.588,0.545,"","",""
"MTSRCAMD","A7","fivedasc_av_total",0.077,0.042,0.091,0.812,0.904,0.737,"","",""
"MTSRCAMD","A7","fivedasc_per_total",0.08,0.42,0.303,0.805,0.177,0.197,"","",""
"MTSRCAMD","A7","boundlessMean",0.448,0.538,0.424,0.144,0.075,0.063,"","",""
"MTSRCAMD","A7","anxiousEgoMean",-0.087,0.21,0.121,0.787,0.514,0.638,"","",""
"MTSRCAMD","A7","visionaryMean",0.155,0.224,0.212,0.63,0.485,0.381,"","",""
"MTSRCAMD","B30","age",0.357,0.35,0.242,0.255,0.266,0.311,"","",""
"MTSRCAMD","B30","LED",-0.516,-0.371,-0.261,0.155,0.325,0.34,"","",""
"MTSRCAMD","B30","severity",0.805,0.776,0.667,0.002,0.005,0.002,"**","**","**"
"MTSRCAMD","B30","fivedasc_util_total",0.207,0.238,0.182,0.519,0.457,0.459,"","",""
"MTSRCAMD","B30","fivedasc_sprit_total",0.348,0.378,0.303,0.268,0.227,0.197,"","",""
"MTSRCAMD","B30","fivedasc_bliss_total",0.301,0.322,0.242,0.342,0.308,0.311,"","",""
"MTSRCAMD","B30","fivedasc_insight_total",0.41,0.462,0.333,0.185,0.134,0.153,"","",""
"MTSRCAMD","B30","fivedasc_dis_total",0.285,0.266,0.182,0.369,0.404,0.459,"","",""
"MTSRCAMD","B30","fivedasc_imp_total",-0.378,-0.224,-0.152,0.225,0.485,0.545,"","",""
"MTSRCAMD","B30","fivedasc_anx_total",-0.222,-0.07,-0.061,0.489,0.834,0.841,"","",""
"MTSRCAMD","B30","fivedasc_cimg_total",-0.01,0.095,0.076,0.976,0.77,0.731,"","",""
"MTSRCAMD","B30","fivedasc_eimg_total",0.164,0.35,0.242,0.61,0.266,0.311,"","",""
"MTSRCAMD","B30","fivedasc_av_total",-0.058,0,0,0.858,1,1,"","",""
"MTSRCAMD","B30","fivedasc_per_total",0.035,0.238,0.152,0.913,0.457,0.545,"","",""
"MTSRCAMD","B30","boundlessMean",0.324,0.294,0.212,0.305,0.354,0.381,"","",""
"MTSRCAMD","B30","anxiousEgoMean",-0.043,0.084,0.091,0.894,0.8,0.737,"","",""
"MTSRCAMD","B30","visionaryMean",0.054,0.084,0,0.868,0.8,1,"","",""
"MTSRCAMD","B7","age",0.161,0.168,0.152,0.617,0.604,0.545,"","",""
"MTSRCAMD","B7","LED",-0.381,-0.203,-0.145,0.312,0.601,0.596,"","",""
"MTSRCAMD","B7","severity",0.144,-0.042,-0.03,0.654,0.904,0.947,"","",""
"MTSRCAMD","B7","fivedasc_util_total",0.11,-0.175,-0.091,0.734,0.588,0.737,"","",""
"MTSRCAMD","B7","fivedasc_sprit_total",0.166,-0.133,-0.091,0.605,0.683,0.737,"","",""
"MTSRCAMD","B7","fivedasc_bliss_total",0.17,-0.056,-0.03,0.597,0.869,0.947,"","",""
"MTSRCAMD","B7","fivedasc_insight_total",0.24,0,0,0.452,1,1,"","",""
"MTSRCAMD","B7","fivedasc_dis_total",-0.232,-0.294,-0.212,0.468,0.354,0.381,"","",""
"MTSRCAMD","B7","fivedasc_imp_total",-0.494,-0.259,-0.182,0.103,0.417,0.459,"","",""
"MTSRCAMD","B7","fivedasc_anx_total",-0.141,0.035,0.03,0.661,0.921,0.947,"","",""
"MTSRCAMD","B7","fivedasc_cimg_total",0.217,0.217,0.137,0.498,0.498,0.536,"","",""
"MTSRCAMD","B7","fivedasc_eimg_total",0.214,0.203,0.152,0.503,0.528,0.545,"","",""
"MTSRCAMD","B7","fivedasc_av_total",0.141,-0.056,-0.03,0.661,0.869,0.947,"","",""
"MTSRCAMD","B7","fivedasc_per_total",-0.04,-0.182,-0.121,0.901,0.573,0.638,"","",""
"MTSRCAMD","B7","boundlessMean",0.175,-0.119,-0.061,0.585,0.716,0.841,"","",""
"MTSRCAMD","B7","anxiousEgoMean",-0.424,-0.203,-0.121,0.17,0.528,0.638,"","",""
"MTSRCAMD","B7","visionaryMean",0.177,0.098,0.091,0.582,0.766,0.737,"","",""
"MTSRCAMD","bsl","age",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRCAMD","bsl","LED",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRCAMD","bsl","severity",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRCAMD","bsl","fivedasc_util_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRCAMD","bsl","fivedasc_sprit_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRCAMD","bsl","fivedasc_bliss_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRCAMD","bsl","fivedasc_insight_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRCAMD","bsl","fivedasc_dis_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRCAMD","bsl","fivedasc_imp_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRCAMD","bsl","fivedasc_anx_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRCAMD","bsl","fivedasc_cimg_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRCAMD","bsl","fivedasc_eimg_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRCAMD","bsl","fivedasc_av_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRCAMD","bsl","fivedasc_per_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRCAMD","bsl","boundlessMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRCAMD","bsl","anxiousEgoMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRCAMD","bsl","visionaryMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRFAMD","A7","age",0.672,0.545,0.424,0.017,0.071,0.063,"*","",""
"MTSRFAMD","A7","LED",-0.068,0.084,0.029,0.861,0.829,0.916,"","",""
"MTSRFAMD","A7","severity",0.444,0.455,0.303,0.148,0.14,0.197,"","",""
"MTSRFAMD","A7","fivedasc_util_total",0.431,0.448,0.364,0.162,0.147,0.116,"","",""
"MTSRFAMD","A7","fivedasc_sprit_total",0.509,0.552,0.424,0.091,0.067,0.063,"","",""
"MTSRFAMD","A7","fivedasc_bliss_total",0.537,0.545,0.424,0.072,0.071,0.063,"","",""
"MTSRFAMD","A7","fivedasc_insight_total",0.396,0.538,0.394,0.202,0.075,0.086,"","",""
