"measure","tp","pred","pearso_p","spearman_p","kendall_p","pearson.sig","spearman.sig","kendall.sig"
"SWMBE6","bsl","boundlessMean",0.079,0.069,0.092,"","",""
"SWMBE6","bsl","anxiousEgoMean",0.22,0.102,0.161,"","",""
"SWMBE6","bsl","visionaryMean",0.083,0.034,0.025,"","*","*"
"SWMBE8","A7","age",0.011,0.117,0.144,"*","",""
"SWMBE8","A7","LED",0.686,0.752,0.592,"","",""
"SWMBE8","A7","severity",0.033,0.033,0.022,"*","*","*"
"SWMBE8","A7","fivedasc_util_total",0.517,0.399,0.445,"","",""
"SWMBE8","A7","fivedasc_sprit_total",0.45,0.275,0.297,"","",""
"SWMBE8","A7","fivedasc_bliss_total",0.373,0.302,0.366,"","",""
"SWMBE8","A7","fivedasc_insight_total",0.408,0.367,0.445,"","",""
"SWMBE8","A7","fivedasc_dis_total",0.292,0.275,0.187,"","",""
"SWMBE8","A7","fivedasc_imp_total",0.765,0.726,0.627,"","",""
"SWMBE8","A7","fivedasc_anx_total",0.783,0.983,0.945,"","",""
"SWMBE8","A7","fivedasc_cimg_total",0.479,0.304,0.265,"","",""
"SWMBE8","A7","fivedasc_eimg_total",0.272,0.226,0.237,"","",""
"SWMBE8","A7","fivedasc_av_total",0.107,0.108,0.11,"","",""
"SWMBE8","A7","fivedasc_per_total",0.869,0.367,0.297,"","",""
"SWMBE8","A7","boundlessMean",0.422,0.399,0.445,"","",""
"SWMBE8","A7","anxiousEgoMean",0.463,0.331,0.366,"","",""
"SWMBE8","A7","visionaryMean",0.267,0.198,0.237,"","",""
"SWMBE8","B30","age",0.14,0.059,0.044,"","","*"
"SWMBE8","B30","LED",0.998,0.282,0.331,"","",""
"SWMBE8","B30","severity",0.367,0.487,0.532,"","",""
"SWMBE8","B30","fivedasc_util_total",0.044,0.035,0.061,"*","*",""
"SWMBE8","B30","fivedasc_sprit_total",0.053,0.024,0.031,"","*","*"
"SWMBE8","B30","fivedasc_bliss_total",0.077,0.079,0.061,"","",""
"SWMBE8","B30","fivedasc_insight_total",0.082,0.048,0.061,"","*",""
"SWMBE8","B30","fivedasc_dis_total",0.037,0.042,0.061,"*","*",""
"SWMBE8","B30","fivedasc_imp_total",0.188,0.221,0.237,"","",""
"SWMBE8","B30","fivedasc_anx_total",0.646,0.81,0.835,"","",""
"SWMBE8","B30","fivedasc_cimg_total",0.264,0.096,0.125,"","",""
"SWMBE8","B30","fivedasc_eimg_total",0.199,0.102,0.144,"","",""
"SWMBE8","B30","fivedasc_av_total",0.025,0.02,0.031,"*","*","*"
"SWMBE8","B30","fivedasc_per_total",0.005,0.099,0.082,"**","",""
"SWMBE8","B30","boundlessMean",0.055,0.028,0.044,"","*","*"
"SWMBE8","B30","anxiousEgoMean",0.505,0.343,0.445,"","",""
"SWMBE8","B30","visionaryMean",0.005,0.004,0.007,"**","**","**"
"SWMBE8","B7","age",0.063,0.232,0.157,"","",""
"SWMBE8","B7","LED",0.789,0.842,0.827,"","",""
"SWMBE8","B7","severity",0.498,0.799,0.887,"","",""
"SWMBE8","B7","fivedasc_util_total",0.605,0.267,0.257,"","",""
"SWMBE8","B7","fivedasc_sprit_total",0.759,0.437,0.479,"","",""
"SWMBE8","B7","fivedasc_bliss_total",0.446,0.162,0.157,"","",""
"SWMBE8","B7","fivedasc_insight_total",0.757,0.391,0.321,"","",""
"SWMBE8","B7","fivedasc_dis_total",0.463,0.335,0.395,"","",""
"SWMBE8","B7","fivedasc_imp_total",0.555,0.73,0.777,"","",""
"SWMBE8","B7","fivedasc_anx_total",0.924,0.705,0.571,"","",""
"SWMBE8","B7","fivedasc_cimg_total",0.589,0.58,0.523,"","",""
"SWMBE8","B7","fivedasc_eimg_total",0.475,0.656,0.671,"","",""
"SWMBE8","B7","fivedasc_av_total",0.3,0.756,0.777,"","",""
"SWMBE8","B7","fivedasc_per_total",0.493,0.213,0.157,"","",""
"SWMBE8","B7","boundlessMean",0.622,0.311,0.321,"","",""
"SWMBE8","B7","anxiousEgoMean",0.419,0.204,0.202,"","",""
"SWMBE8","B7","visionaryMean",0.807,0.705,0.777,"","",""
"SWMBE8","bsl","age",0.509,0.748,0.724,"","",""
"SWMBE8","bsl","LED",0.931,0.439,0.588,"","",""
"SWMBE8","bsl","severity",0.067,0.045,0.057,"","*",""
"SWMBE8","bsl","fivedasc_util_total",0.947,0.74,0.724,"","",""
"SWMBE8","bsl","fivedasc_sprit_total",0.781,0.912,0.944,"","",""
"SWMBE8","bsl","fivedasc_bliss_total",0.924,0.682,0.724,"","",""
"SWMBE8","bsl","fivedasc_insight_total",0.873,0.555,0.526,"","",""
"SWMBE8","bsl","fivedasc_dis_total",0.937,0.774,0.832,"","",""
"SWMBE8","bsl","fivedasc_imp_total",0.306,0.617,0.526,"","",""
"SWMBE8","bsl","fivedasc_anx_total",0.309,0.419,0.359,"","",""
"SWMBE8","bsl","fivedasc_cimg_total",0.342,0.187,0.12,"","",""
"SWMBE8","bsl","fivedasc_eimg_total",0.94,0.748,0.832,"","",""
"SWMBE8","bsl","fivedasc_av_total",0.521,0.673,0.621,"","",""
"SWMBE8","bsl","fivedasc_per_total",0.952,0.69,0.621,"","",""
"SWMBE8","bsl","boundlessMean",0.992,0.816,0.832,"","",""
"SWMBE8","bsl","anxiousEgoMean",0.969,0.641,0.832,"","",""
"SWMBE8","bsl","visionaryMean",0.629,0.715,0.724,"","",""
"SWMS","A7","age",0.07,0.022,0.032,"","*","*"
"SWMS","A7","LED",0.693,0.94,1,"","",""
"SWMS","A7","severity",0.104,0.224,0.24,"","",""
"SWMS","A7","fivedasc_util_total",0.952,0.948,0.945,"","",""
"SWMS","A7","fivedasc_sprit_total",0.894,0.862,0.836,"","",""
"SWMS","A7","fivedasc_bliss_total",0.824,0.728,0.73,"","",""
"SWMS","A7","fivedasc_insight_total",0.903,0.896,0.945,"","",""
"SWMS","A7","fivedasc_dis_total",0.612,0.489,0.534,"","",""
"SWMS","A7","fivedasc_imp_total",0.289,0.346,0.3,"","",""
"SWMS","A7","fivedasc_anx_total",0.942,0.639,0.369,"","",""
"SWMS","A7","fivedasc_cimg_total",0.808,0.849,0.89,"","",""
"SWMS","A7","fivedasc_eimg_total",0.301,0.311,0.369,"","",""
"SWMS","A7","fivedasc_av_total",0.2,0.257,0.24,"","",""
"SWMS","A7","fivedasc_per_total",0.439,0.957,0.836,"","",""
"SWMS","A7","boundlessMean",0.987,0.922,0.945,"","",""
"SWMS","A7","anxiousEgoMean",0.994,0.72,0.73,"","",""
"SWMS","A7","visionaryMean",0.224,0.238,0.24,"","",""
"SWMS","B30","age",0.096,0.036,0.071,"","*",""
"SWMS","B30","LED",0.563,0.675,0.665,"","",""
"SWMS","B30","severity",0.145,0.266,0.212,"","",""
"SWMS","B30","fivedasc_util_total",0.906,0.913,0.89,"","",""
"SWMS","B30","fivedasc_sprit_total",0.946,0.853,0.89,"","",""
"SWMS","B30","fivedasc_bliss_total",0.872,0.638,0.677,"","",""
"SWMS","B30","fivedasc_insight_total",0.713,0.991,0.89,"","",""
"SWMS","B30","fivedasc_dis_total",0.629,0.686,0.677,"","",""
"SWMS","B30","fivedasc_imp_total",0.441,0.583,0.677,"","",""
"SWMS","B30","fivedasc_anx_total",0.801,0.974,0.89,"","",""
"SWMS","B30","fivedasc_cimg_total",0.564,0.622,0.728,"","",""
"SWMS","B30","fivedasc_eimg_total",0.043,0.058,0.071,"*","",""
"SWMS","B30","fivedasc_av_total",0.124,0.199,0.212,"","",""
"SWMS","B30","fivedasc_per_total",0.503,0.819,0.89,"","",""
"SWMS","B30","boundlessMean",0.928,0.879,1,"","",""
"SWMS","B30","anxiousEgoMean",0.857,0.811,0.782,"","",""
"SWMS","B30","visionaryMean",0.08,0.121,0.127,"","",""
"SWMS","B7","age",0.447,0.392,0.532,"","",""
"SWMS","B7","LED",0.657,0.743,0.748,"","",""
"SWMS","B7","severity",0.202,0.412,0.366,"","",""
"SWMS","B7","fivedasc_util_total",0.864,0.718,0.728,"","",""
"SWMS","B7","fivedasc_sprit_total",0.835,0.392,0.366,"","",""
"SWMS","B7","fivedasc_bliss_total",0.783,0.896,0.945,"","",""
"SWMS","B7","fivedasc_insight_total",0.744,0.71,0.627,"","",""
"SWMS","B7","fivedasc_dis_total",0.999,0.386,0.532,"","",""
"SWMS","B7","fivedasc_imp_total",0.097,0.162,0.144,"","",""
"SWMS","B7","fivedasc_anx_total",0.93,0.853,0.835,"","",""
"SWMS","B7","fivedasc_cimg_total",0.85,0.5,0.486,"","",""
"SWMS","B7","fivedasc_eimg_total",0.931,0.965,0.835,"","",""
"SWMS","B7","fivedasc_av_total",0.547,0.583,0.728,"","",""
"SWMS","B7","fivedasc_per_total",0.969,0.785,0.835,"","",""
"SWMS","B7","boundlessMean",0.886,0.59,0.627,"","",""
"SWMS","B7","anxiousEgoMean",0.581,0.861,0.835,"","",""
"SWMS","B7","visionaryMean",0.808,0.583,0.445,"","",""
"SWMS","bsl","age",0.491,0.254,0.125,"","",""
"SWMS","bsl","LED",0.845,0.423,0.447,"","",""
"SWMS","bsl","severity",0.285,0.537,0.78,"","",""
"SWMS","bsl","fivedasc_util_total",0.248,0.119,0.094,"","",""
"SWMS","bsl","fivedasc_sprit_total",0.167,0.069,0.07,"","",""
"SWMS","bsl","fivedasc_bliss_total",0.355,0.274,0.265,"","",""
"SWMS","bsl","fivedasc_insight_total",0.164,0.165,0.163,"","",""
"SWMS","bsl","fivedasc_dis_total",0.05,0.008,0.018,"","**","*"
"SWMS","bsl","fivedasc_imp_total",0.223,0.274,0.265,"","",""
"SWMS","bsl","fivedasc_anx_total",0.691,0.844,0.78,"","",""
"SWMS","bsl","fivedasc_cimg_total",0.764,0.742,0.834,"","",""
"SWMS","bsl","fivedasc_eimg_total",0.388,0.5,0.577,"","",""
"SWMS","bsl","fivedasc_av_total",0.339,0.567,0.486,"","",""
"SWMS","bsl","fivedasc_per_total",0.165,0.177,0.125,"","",""
"SWMS","bsl","boundlessMean",0.217,0.136,0.125,"","",""
"SWMS","bsl","anxiousEgoMean",0.288,0.11,0.21,"","",""
"SWMS","bsl","visionaryMean",0.203,0.169,0.094,"","",""
"Z_MTS","A7","age",0.027,0.055,0.045,"*","","*"
"Z_MTS","A7","LED",0.736,0.983,0.916,"","",""
"Z_MTS","A7","severity",0.011,0.017,0.021,"*","*","*"
"Z_MTS","A7","fivedasc_util_total",0.109,0.11,0.153,"","",""
"Z_MTS","A7","fivedasc_sprit_total",0.061,0.067,0.086,"","",""
"Z_MTS","A7","fivedasc_bliss_total",0.051,0.049,0.045,"","*","*"
"Z_MTS","A7","fivedasc_insight_total",0.038,0.046,0.063,"*","*",""
"Z_MTS","A7","fivedasc_dis_total",0.084,0.14,0.153,"","",""
"Z_MTS","A7","fivedasc_imp_total",0.354,0.457,0.459,"","",""
"Z_MTS","A7","fivedasc_anx_total",0.523,0.852,0.737,"","",""
"Z_MTS","A7","fivedasc_cimg_total",0.872,0.974,0.945,"","",""
"Z_MTS","A7","fivedasc_eimg_total",0.665,0.651,0.737,"","",""
"Z_MTS","A7","fivedasc_av_total",0.826,0.667,0.737,"","",""
"Z_MTS","A7","fivedasc_per_total",0.378,0.14,0.197,"","",""
"Z_MTS","A7","boundlessMean",0.054,0.099,0.116,"","",""
"Z_MTS","A7","anxiousEgoMean",0.606,0.354,0.459,"","",""
"Z_MTS","A7","visionaryMean",0.653,0.8,0.737,"","",""
"Z_MTS","B30","age",0.271,0.573,0.638,"","",""
"Z_MTS","B30","LED",0.664,0.413,0.458,"","",""
"Z_MTS","B30","severity",0.001,0.001,0.002,"***","***","**"
"Z_MTS","B30","fivedasc_util_total",0.187,0.084,0.063,"","",""
"Z_MTS","B30","fivedasc_sprit_total",0.089,0.035,0.031,"","*","*"
"Z_MTS","B30","fivedasc_bliss_total",0.108,0.046,0.063,"","*",""
"Z_MTS","B30","fivedasc_insight_total",0.057,0.013,0.009,"","*","**"
"Z_MTS","B30","fivedasc_dis_total",0.046,0.024,0.031,"*","*","*"
"Z_MTS","B30","fivedasc_imp_total",0.828,0.783,0.737,"","",""
"Z_MTS","B30","fivedasc_anx_total",0.674,0.588,0.638,"","",""
"Z_MTS","B30","fivedasc_cimg_total",0.834,0.82,0.731,"","",""
"Z_MTS","B30","fivedasc_eimg_total",0.7,0.499,0.459,"","",""
"Z_MTS","B30","fivedasc_av_total",0.881,0.904,1,"","",""
"Z_MTS","B30","fivedasc_per_total",0.423,0.04,0.045,"","*","*"
"Z_MTS","B30","boundlessMean",0.094,0.055,0.045,"","","*"
"Z_MTS","B30","anxiousEgoMean",0.29,0.379,0.381,"","",""
"Z_MTS","B30","visionaryMean",0.659,0.588,0.459,"","",""
"Z_MTS","B7","age",0.088,0.154,0.197,"","",""
"Z_MTS","B7","LED",0.961,0.586,0.458,"","",""
"Z_MTS","B7","severity",0.147,0.099,0.197,"","",""
"Z_MTS","B7","fivedasc_util_total",0.171,0.177,0.311,"","",""
"Z_MTS","B7","fivedasc_sprit_total",0.061,0.115,0.197,"","",""
"Z_MTS","B7","fivedasc_bliss_total",0.11,0.059,0.116,"","",""
"Z_MTS","B7","fivedasc_insight_total",0.036,0.084,0.153,"*","",""
"Z_MTS","B7","fivedasc_dis_total",0.138,0.237,0.197,"","",""
"Z_MTS","B7","fivedasc_imp_total",0.704,0.683,0.737,"","",""
"Z_MTS","B7","fivedasc_anx_total",0.749,0.852,0.638,"","",""
"Z_MTS","B7","fivedasc_cimg_total",0.309,0.296,0.243,"","",""
"Z_MTS","B7","fivedasc_eimg_total",0.717,0.991,1,"","",""
"Z_MTS","B7","fivedasc_av_total",0.419,0.573,0.841,"","",""
"Z_MTS","B7","fivedasc_per_total",0.539,0.227,0.381,"","",""
"Z_MTS","B7","boundlessMean",0.077,0.127,0.25,"","",""
"Z_MTS","B7","anxiousEgoMean",0.291,0.287,0.25,"","",""
"Z_MTS","B7","visionaryMean",0.951,0.783,0.841,"","",""
"Z_MTS","bsl","age",0.12,0.331,0.311,"","",""
"Z_MTS","bsl","LED",0.786,0.897,0.916,"","",""
"Z_MTS","bsl","severity",0.026,0.035,0.031,"*","*","*"
"Z_MTS","bsl","fivedasc_util_total",0.065,0.024,0.031,"","*","*"
"Z_MTS","bsl","fivedasc_sprit_total",0.037,0.013,0.014,"*","*","*"
"Z_MTS","bsl","fivedasc_bliss_total",0.04,0.013,0.014,"*","*","*"
"Z_MTS","bsl","fivedasc_insight_total",0.055,0.026,0.021,"","*","*"
"Z_MTS","bsl","fivedasc_dis_total",0.016,0.028,0.031,"*","*","*"
"Z_MTS","bsl","fivedasc_imp_total",0.811,0.886,0.947,"","",""
"Z_MTS","bsl","fivedasc_anx_total",0.63,0.8,0.841,"","",""
"Z_MTS","bsl","fivedasc_cimg_total",0.935,0.923,0.945,"","",""
"Z_MTS","bsl","fivedasc_eimg_total",0.922,0.7,0.638,"","",""
"Z_MTS","bsl","fivedasc_av_total",0.806,0.766,0.841,"","",""
"Z_MTS","bsl","fivedasc_per_total",0.326,0.035,0.021,"","*","*"
"Z_MTS","bsl","boundlessMean",0.041,0.022,0.021,"*","*","*"
"Z_MTS","bsl","anxiousEgoMean",0.217,0.14,0.25,"","",""
"Z_MTS","bsl","visionaryMean",0.807,0.904,0.841,"","",""
"Z_OTS","A7","age",0.039,0.067,0.063,"*","",""
"Z_OTS","A7","LED",0.726,0.496,0.458,"","",""
"Z_OTS","A7","severity",0.166,0.193,0.197,"","",""
"Z_OTS","A7","fivedasc_util_total",0.586,0.543,0.459,"","",""
"Z_OTS","A7","fivedasc_sprit_total",0.771,0.667,0.638,"","",""
"Z_OTS","A7","fivedasc_bliss_total",0.444,0.237,0.197,"","",""
"Z_OTS","A7","fivedasc_insight_total",0.558,0.237,0.25,"","",""
"Z_OTS","A7","fivedasc_dis_total",0.638,0.733,0.841,"","",""
"Z_OTS","A7","fivedasc_imp_total",0.478,0.543,0.545,"","",""
"Z_OTS","A7","fivedasc_anx_total",0.171,0.404,0.311,"","",""
"Z_OTS","A7","fivedasc_cimg_total",0.458,0.571,0.45,"","",""
"Z_OTS","A7","fivedasc_eimg_total",0.88,0.956,0.841,"","",""
"Z_OTS","A7","fivedasc_av_total",0.506,0.514,0.459,"","",""
"Z_OTS","A7","fivedasc_per_total",0.276,0.227,0.25,"","",""
"Z_OTS","A7","boundlessMean",0.573,0.499,0.381,"","",""
"Z_OTS","A7","anxiousEgoMean",0.578,0.783,0.737,"","",""
"Z_OTS","A7","visionaryMean",0.918,0.886,1,"","",""
"Z_OTS","B30","age",0.173,0.015,0.031,"","*","*"
"Z_OTS","B30","LED",0.169,0.072,0.044,"","","*"
"Z_OTS","B30","severity",0.071,0.012,0.031,"","*","*"
"Z_OTS","B30","fivedasc_util_total",0.475,0.991,1,"","",""
"Z_OTS","B30","fivedasc_sprit_total",0.381,0.974,1,"","",""
"Z_OTS","B30","fivedasc_bliss_total",0.702,0.733,0.638,"","",""
"Z_OTS","B30","fivedasc_insight_total",0.403,0.783,0.737,"","",""
"Z_OTS","B30","fivedasc_dis_total",0.832,0.852,0.841,"","",""
"Z_OTS","B30","fivedasc_imp_total",0.672,0.904,0.947,"","",""
"Z_OTS","B30","fivedasc_anx_total",0.755,0.749,0.841,"","",""
"Z_OTS","B30","fivedasc_cimg_total",0.94,0.729,0.63,"","",""
"Z_OTS","B30","fivedasc_eimg_total",0.64,0.834,0.841,"","",""
"Z_OTS","B30","fivedasc_av_total",0.198,0.471,0.638,"","",""
"Z_OTS","B30","fivedasc_per_total",0.441,0.834,0.947,"","",""
"Z_OTS","B30","boundlessMean",0.478,1,0.947,"","",""
"Z_OTS","B30","anxiousEgoMean",0.887,0.766,0.737,"","",""
"Z_OTS","B30","visionaryMean",0.35,0.457,0.459,"","",""
"Z_OTS","B7","age",0.229,0.099,0.153,"","",""
"Z_OTS","B7","LED",0.92,0.648,0.596,"","",""
"Z_OTS","B7","severity",0.106,0.201,0.153,"","",""
"Z_OTS","B7","fivedasc_util_total",0.696,0.869,0.947,"","",""
"Z_OTS","B7","fivedasc_sprit_total",0.512,0.869,0.737,"","",""
"Z_OTS","B7","fivedasc_bliss_total",0.871,0.573,0.737,"","",""
"Z_OTS","B7","fivedasc_insight_total",0.863,0.733,0.841,"","",""
"Z_OTS","B7","fivedasc_dis_total",0.89,0.904,0.947,"","",""
"Z_OTS","B7","fivedasc_imp_total",0.255,0.354,0.638,"","",""
"Z_OTS","B7","fivedasc_anx_total",0.954,0.766,0.737,"","",""
"Z_OTS","B7","fivedasc_cimg_total",0.497,0.696,0.536,"","",""
"Z_OTS","B7","fivedasc_eimg_total",0.656,0.939,0.947,"","",""
"Z_OTS","B7","fivedasc_av_total",0.369,0.444,0.545,"","",""
"Z_OTS","B7","fivedasc_per_total",0.884,0.635,0.841,"","",""
"Z_OTS","B7","boundlessMean",0.789,0.956,1,"","",""
"Z_OTS","B7","anxiousEgoMean",0.728,0.651,0.841,"","",""
"Z_OTS","B7","visionaryMean",0.711,0.766,0.737,"","",""
"Z_OTS","bsl","age",0.03,0.034,0.046,"*","*","*"
"Z_OTS","bsl","LED",0.904,0.713,0.458,"","",""
"Z_OTS","bsl","severity",0.118,0.127,0.114,"","",""
"Z_OTS","bsl","fivedasc_util_total",0.789,0.549,0.45,"","",""
"Z_OTS","bsl","fivedasc_sprit_total",0.897,0.68,0.63,"","",""
"Z_OTS","bsl","fivedasc_bliss_total",0.584,0.359,0.303,"","",""
"Z_OTS","bsl","fivedasc_insight_total",0.515,0.436,0.372,"","",""
"Z_OTS","bsl","fivedasc_dis_total",0.517,0.549,0.45,"","",""
"Z_OTS","bsl","fivedasc_imp_total",0.725,0.795,0.945,"","",""
"Z_OTS","bsl","fivedasc_anx_total",0.936,0.77,0.837,"","",""
"Z_OTS","bsl","fivedasc_cimg_total",0.782,0.72,0.582,"","",""
"Z_OTS","bsl","fivedasc_eimg_total",0.706,0.854,0.945,"","",""
"Z_OTS","bsl","fivedasc_av_total",0.378,0.436,0.536,"","",""
"Z_OTS","bsl","fivedasc_per_total",0.835,0.422,0.536,"","",""
"Z_OTS","bsl","boundlessMean",0.683,0.625,0.536,"","",""
"Z_OTS","bsl","anxiousEgoMean",0.52,0.409,0.536,"","",""
"Z_OTS","bsl","visionaryMean",0.875,0.931,0.945,"","",""
"Z_PAL","A7","age",0.018,0.02,0.021,"*","*","*"
"Z_PAL","A7","LED",0.328,0.325,0.34,"","",""
"Z_PAL","A7","severity",0,0.003,0.003,"***","**","**"
"Z_PAL","A7","fivedasc_util_total",0.78,0.733,0.947,"","",""
"Z_PAL","A7","fivedasc_sprit_total",0.973,0.956,0.737,"","",""
"Z_PAL","A7","fivedasc_bliss_total",0.951,0.974,0.947,"","",""
"Z_PAL","A7","fivedasc_insight_total",0.78,0.921,0.841,"","",""
"Z_PAL","A7","fivedasc_dis_total",0.82,1,0.737,"","",""
"Z_PAL","A7","fivedasc_imp_total",0.996,0.619,0.638,"","",""
"Z_PAL","A7","fivedasc_anx_total",0.761,0.749,0.947,"","",""
"Z_PAL","A7","fivedasc_cimg_total",0.459,0.505,0.536,"","",""
"Z_PAL","A7","fivedasc_eimg_total",0.843,0.921,0.947,"","",""
"Z_PAL","A7","fivedasc_av_total",0.133,0.134,0.153,"","",""
"Z_PAL","A7","fivedasc_per_total",0.405,0.733,1,"","",""
"Z_PAL","A7","boundlessMean",0.994,0.766,1,"","",""
"Z_PAL","A7","anxiousEgoMean",0.983,0.886,0.841,"","",""
"Z_PAL","A7","visionaryMean",0.269,0.169,0.153,"","",""
"Z_PAL","B30","age",0.016,0.012,0.023,"*","*","*"
"Z_PAL","B30","LED",0.101,0.067,0.072,"","",""
"Z_PAL","B30","severity",0.002,0.002,0.007,"**","**","**"
"Z_PAL","B30","fivedasc_util_total",0.526,0.68,0.837,"","",""
"Z_PAL","B30","fivedasc_sprit_total",0.703,1,0.731,"","",""
"Z_PAL","B30","fivedasc_bliss_total",0.754,0.923,0.945,"","",""
"Z_PAL","B30","fivedasc_insight_total",0.921,0.753,0.731,"","",""
"Z_PAL","B30","fivedasc_dis_total",0.796,0.803,0.731,"","",""
"Z_PAL","B30","fivedasc_imp_total",0.603,0.549,0.731,"","",""
"Z_PAL","B30","fivedasc_anx_total",0.622,0.68,0.45,"","",""
"Z_PAL","B30","fivedasc_cimg_total",0.386,0.352,0.408,"","",""
"Z_PAL","B30","fivedasc_eimg_total",0.793,0.888,0.837,"","",""
"Z_PAL","B30","fivedasc_av_total",0.188,0.13,0.149,"","",""
"Z_PAL","B30","fivedasc_per_total",0.43,0.88,0.945,"","",""
"Z_PAL","B30","boundlessMean",0.715,0.787,0.945,"","",""
"Z_PAL","B30","anxiousEgoMean",0.807,0.617,0.731,"","",""
"Z_PAL","B30","visionaryMean",0.385,0.249,0.243,"","",""
"Z_PAL","B7","age",0.038,0.017,0.031,"*","*","*"
"Z_PAL","B7","LED",0.26,0.156,0.34,"","",""
"Z_PAL","B7","severity",0.001,0.002,0.005,"***","**","**"
"Z_PAL","B7","fivedasc_util_total",0.826,0.817,1,"","",""
"Z_PAL","B7","fivedasc_sprit_total",0.861,0.869,1,"","",""
"Z_PAL","B7","fivedasc_bliss_total",0.917,0.904,0.841,"","",""
"Z_PAL","B7","fivedasc_insight_total",0.713,0.8,0.737,"","",""
"Z_PAL","B7","fivedasc_dis_total",0.961,0.683,0.841,"","",""
"Z_PAL","B7","fivedasc_imp_total",0.81,0.956,0.947,"","",""
"Z_PAL","B7","fivedasc_anx_total",0.424,0.528,0.459,"","",""
"Z_PAL","B7","fivedasc_cimg_total",0.301,0.174,0.192,"","",""
"Z_PAL","B7","fivedasc_eimg_total",0.917,0.852,1,"","",""
"Z_PAL","B7","fivedasc_av_total",0.229,0.218,0.197,"","",""
"Z_PAL","B7","fivedasc_per_total",0.56,0.991,0.737,"","",""
"Z_PAL","B7","boundlessMean",0.986,0.834,0.947,"","",""
"Z_PAL","B7","anxiousEgoMean",0.612,0.471,0.545,"","",""
"Z_PAL","B7","visionaryMean",0.388,0.21,0.197,"","",""
"Z_PAL","bsl","age",0.067,0.009,0.031,"","**","*"
"Z_PAL","bsl","LED",0.085,0.227,0.244,"","",""
"Z_PAL","bsl","severity",0,0,0.002,"***","***","**"
"Z_PAL","bsl","fivedasc_util_total",0.671,0.991,1,"","",""
"Z_PAL","bsl","fivedasc_sprit_total",0.658,0.869,1,"","",""
"Z_PAL","bsl","fivedasc_bliss_total",0.979,0.667,0.638,"","",""
"Z_PAL","bsl","fivedasc_insight_total",0.981,0.417,0.545,"","",""
"Z_PAL","bsl","fivedasc_dis_total",0.794,0.869,0.841,"","",""
"Z_PAL","bsl","fivedasc_imp_total",0.508,0.485,0.545,"","",""
"Z_PAL","bsl","fivedasc_anx_total",0.239,0.319,0.311,"","",""
"Z_PAL","bsl","fivedasc_cimg_total",0.271,0.347,0.303,"","",""
"Z_PAL","bsl","fivedasc_eimg_total",0.588,0.543,0.638,"","",""
"Z_PAL","bsl","fivedasc_av_total",0.509,0.667,0.841,"","",""
"Z_PAL","bsl","fivedasc_per_total",0.654,0.635,0.737,"","",""
"Z_PAL","bsl","boundlessMean",0.817,0.921,0.947,"","",""
"Z_PAL","bsl","anxiousEgoMean",0.313,0.342,0.381,"","",""
"Z_PAL","bsl","visionaryMean",0.64,0.667,0.638,"","",""
"Z_RTI","A7","age",0.582,0.886,0.947,"","",""
"Z_RTI","A7","LED",0.848,0.696,0.596,"","",""
"Z_RTI","A7","severity",0.048,0.059,0.086,"*","",""
"Z_RTI","A7","fivedasc_util_total",0.086,0.089,0.086,"","",""
"Z_RTI","A7","fivedasc_sprit_total",0.053,0.063,0.045,"","","*"
"Z_RTI","A7","fivedasc_bliss_total",0.1,0.052,0.045,"","","*"
"Z_RTI","A7","fivedasc_insight_total",0.032,0.04,0.031,"*","*","*"
"Z_RTI","A7","fivedasc_dis_total",0.045,0.099,0.086,"*","",""
"Z_RTI","A7","fivedasc_imp_total",0.667,1,1,"","",""
"Z_RTI","A7","fivedasc_anx_total",0.313,0.667,0.737,"","",""
"Z_RTI","A7","fivedasc_cimg_total",0.618,0.871,0.731,"","",""
"Z_RTI","A7","fivedasc_eimg_total",0.926,0.834,0.947,"","",""
"Z_RTI","A7","fivedasc_av_total",0.906,0.766,0.737,"","",""
"Z_RTI","A7","fivedasc_per_total",0.301,0.121,0.063,"","",""
"Z_RTI","A7","boundlessMean",0.057,0.075,0.063,"","",""
"Z_RTI","A7","anxiousEgoMean",0.493,0.417,0.459,"","",""
"Z_RTI","A7","visionaryMean",0.877,0.834,0.737,"","",""
"Z_RTI","B30","age",0.804,0.457,0.459,"","",""
"Z_RTI","B30","LED",0.956,0.88,0.916,"","",""
"Z_RTI","B30","severity",0.216,0.319,0.459,"","",""
"Z_RTI","B30","fivedasc_util_total",0.133,0.266,0.459,"","",""
"Z_RTI","B30","fivedasc_sprit_total",0.075,0.184,0.311,"","",""
"Z_RTI","B30","fivedasc_bliss_total",0.175,0.246,0.311,"","",""
"Z_RTI","B30","fivedasc_insight_total",0.04,0.169,0.153,"*","",""
"Z_RTI","B30","fivedasc_dis_total",0.038,0.121,0.116,"*","",""
"Z_RTI","B30","fivedasc_imp_total",0.642,1,0.947,"","",""
"Z_RTI","B30","fivedasc_anx_total",0.486,1,0.841,"","",""
"Z_RTI","B30","fivedasc_cimg_total",0.967,0.712,0.837,"","",""
"Z_RTI","B30","fivedasc_eimg_total",0.669,0.783,1,"","",""
"Z_RTI","B30","fivedasc_av_total",0.672,0.635,0.638,"","",""
"Z_RTI","B30","fivedasc_per_total",0.191,0.471,0.545,"","",""
"Z_RTI","B30","boundlessMean",0.089,0.227,0.381,"","",""
"Z_RTI","B30","anxiousEgoMean",0.39,0.417,0.381,"","",""
