"measure","tp","pred","pearso_p","spearman_p","kendall_p","pearson.sig","spearman.sig","kendall.sig"
"MTSRFAMD","B30","LED",0.766,0.648,0.916,"","",""
"MTSRFAMD","B30","severity",0.002,0.003,0.005,"**","**","**"
"MTSRFAMD","B30","fivedasc_util_total",0.295,0.227,0.311,"","",""
"MTSRFAMD","B30","fivedasc_sprit_total",0.143,0.134,0.116,"","",""
"MTSRFAMD","B30","fivedasc_bliss_total",0.18,0.099,0.116,"","",""
"MTSRFAMD","B30","fivedasc_insight_total",0.096,0.099,0.153,"","",""
"MTSRFAMD","B30","fivedasc_dis_total",0.133,0.227,0.197,"","",""
"MTSRFAMD","B30","fivedasc_imp_total",0.911,0.8,0.947,"","",""
"MTSRFAMD","B30","fivedasc_anx_total",0.863,0.904,0.841,"","",""
"MTSRFAMD","B30","fivedasc_cimg_total",0.764,0.863,0.945,"","",""
"MTSRFAMD","B30","fivedasc_eimg_total",0.974,0.817,0.841,"","",""
"MTSRFAMD","B30","fivedasc_av_total",0.436,0.471,0.459,"","",""
"MTSRFAMD","B30","fivedasc_per_total",0.743,0.276,0.25,"","",""
"MTSRFAMD","B30","boundlessMean",0.159,0.184,0.25,"","",""
"MTSRFAMD","B30","anxiousEgoMean",0.356,0.471,0.545,"","",""
"MTSRFAMD","B30","visionaryMean",0.931,0.834,0.841,"","",""
"MTSRFAMD","B7","age",0.041,0.071,0.063,"*","",""
"MTSRFAMD","B7","LED",0.858,0.68,0.596,"","",""
"MTSRFAMD","B7","severity",0.054,0.059,0.197,"","",""
"MTSRFAMD","B7","fivedasc_util_total",0.364,0.237,0.311,"","",""
"MTSRFAMD","B7","fivedasc_sprit_total",0.206,0.184,0.197,"","",""
"MTSRFAMD","B7","fivedasc_bliss_total",0.22,0.084,0.116,"","",""
"MTSRFAMD","B7","fivedasc_insight_total",0.13,0.115,0.153,"","",""
"MTSRFAMD","B7","fivedasc_dis_total",0.568,0.558,0.638,"","",""
"MTSRFAMD","B7","fivedasc_imp_total",0.823,0.635,0.737,"","",""
"MTSRFAMD","B7","fivedasc_anx_total",0.906,0.956,0.841,"","",""
"MTSRFAMD","B7","fivedasc_cimg_total",0.405,0.436,0.372,"","",""
"MTSRFAMD","B7","fivedasc_eimg_total",0.997,0.651,0.841,"","",""
"MTSRFAMD","B7","fivedasc_av_total",0.505,0.766,0.841,"","",""
"MTSRFAMD","B7","fivedasc_per_total",0.982,0.354,0.381,"","",""
"MTSRFAMD","B7","boundlessMean",0.209,0.193,0.25,"","",""
"MTSRFAMD","B7","anxiousEgoMean",0.701,0.528,0.545,"","",""
"MTSRFAMD","B7","visionaryMean",0.993,0.766,0.841,"","",""
"MTSRFAMD","bsl","age",0.05,0.19,0.192,"","",""
"MTSRFAMD","bsl","LED",0.566,0.571,0.596,"","",""
"MTSRFAMD","bsl","severity",0.078,0.1,0.114,"","",""
"MTSRFAMD","bsl","fivedasc_util_total",0.358,0.249,0.243,"","",""
"MTSRFAMD","bsl","fivedasc_sprit_total",0.252,0.216,0.243,"","",""
"MTSRFAMD","bsl","fivedasc_bliss_total",0.26,0.117,0.086,"","",""
"MTSRFAMD","bsl","fivedasc_insight_total",0.206,0.216,0.192,"","",""
"MTSRFAMD","bsl","fivedasc_dis_total",0.182,0.212,0.149,"","",""
"MTSRFAMD","bsl","fivedasc_imp_total",0.409,0.318,0.243,"","",""
"MTSRFAMD","bsl","fivedasc_anx_total",0.694,0.372,0.45,"","",""
"MTSRFAMD","bsl","fivedasc_cimg_total",0.535,0.555,0.491,"","",""
"MTSRFAMD","bsl","fivedasc_eimg_total",0.663,0.897,0.945,"","",""
"MTSRFAMD","bsl","fivedasc_av_total",0.29,0.378,0.45,"","",""
"MTSRFAMD","bsl","fivedasc_per_total",0.734,0.301,0.192,"","",""
"MTSRFAMD","bsl","boundlessMean",0.253,0.24,0.192,"","",""
"MTSRFAMD","bsl","anxiousEgoMean",0.132,0.06,0.063,"","",""
"MTSRFAMD","bsl","visionaryMean",0.804,0.803,0.63,"","",""
"OTSMDLFC","A7","age",0.071,0.052,0.031,"","","*"
"OTSMDLFC","A7","LED",0.748,0.54,0.596,"","",""
"OTSMDLFC","A7","severity",0.42,0.297,0.311,"","",""
"OTSMDLFC","A7","fivedasc_util_total",0.447,0.667,0.638,"","",""
"OTSMDLFC","A7","fivedasc_sprit_total",0.668,0.852,0.841,"","",""
"OTSMDLFC","A7","fivedasc_bliss_total",0.361,0.319,0.311,"","",""
