"measure","tp","pred","pearson_cor","spearman_rho","kendall_tau","pearson_p","spearman_p","kendall_p","pearson_sig","spearman_sig","kendall_sig"
"MTSRCAMD","B7","age",0.581,0.524,0.394,0.048,0.084,0.086,"*","",""
"MTSRCAMD","B7","LED",-0.079,-0.16,-0.145,0.839,0.68,0.596,"","",""
"MTSRCAMD","B7","severity",0.574,0.517,0.273,0.051,0.089,0.25,"","",""
"MTSRCAMD","B7","fivedasc_util_total",0.347,0.378,0.273,0.269,0.227,0.25,"","",""
"MTSRCAMD","B7","fivedasc_sprit_total",0.442,0.406,0.273,0.15,0.193,0.25,"","",""
"MTSRCAMD","B7","fivedasc_bliss_total",0.431,0.538,0.394,0.162,0.075,0.086,"","",""
"MTSRCAMD","B7","fivedasc_insight_total",0.515,0.49,0.364,0.087,0.11,0.116,"","",""
"MTSRCAMD","B7","fivedasc_dis_total",0.251,0.196,0.152,0.431,0.543,0.545,"","",""
"MTSRCAMD","B7","fivedasc_imp_total",-0.117,-0.147,-0.061,0.717,0.651,0.841,"","",""
"MTSRCAMD","B7","fivedasc_anx_total",-0.021,0.035,0.091,0.947,0.921,0.737,"","",""
"MTSRCAMD","B7","fivedasc_cimg_total",0.256,0.291,0.229,0.422,0.359,0.303,"","",""
"MTSRCAMD","B7","fivedasc_eimg_total",0.018,0.161,0.091,0.955,0.619,0.737,"","",""
"MTSRCAMD","B7","fivedasc_av_total",-0.184,-0.084,-0.03,0.567,0.8,0.947,"","",""
"MTSRCAMD","B7","fivedasc_per_total",0.084,0.308,0.242,0.795,0.331,0.311,"","",""
"MTSRCAMD","B7","boundlessMean",0.444,0.413,0.303,0.148,0.184,0.197,"","",""
"MTSRCAMD","B7","anxiousEgoMean",0.128,0.217,0.182,0.693,0.499,0.459,"","",""
"MTSRCAMD","B7","visionaryMean",0.04,0.14,0.091,0.901,0.667,0.737,"","",""
"MTSRCAMD","bsl","age",0.568,0.413,0.321,0.054,0.182,0.149,"","",""
"MTSRCAMD","bsl","LED",0.203,0.177,0.145,0.601,0.648,0.596,"","",""
"MTSRCAMD","bsl","severity",0.572,0.623,0.443,0.052,0.03,0.046,"","*","*"
"MTSRCAMD","bsl","fivedasc_util_total",0.329,0.438,0.29,0.296,0.155,0.192,"","",""
"MTSRCAMD","bsl","fivedasc_sprit_total",0.401,0.497,0.351,0.196,0.1,0.114,"","",""
"MTSRCAMD","bsl","fivedasc_bliss_total",0.385,0.532,0.412,0.216,0.075,0.063,"","",""
"MTSRCAMD","bsl","fivedasc_insight_total",0.434,0.462,0.321,0.158,0.13,0.149,"","",""
"MTSRCAMD","bsl","fivedasc_dis_total",0.46,0.452,0.351,0.133,0.14,0.114,"","",""
"MTSRCAMD","bsl","fivedasc_imp_total",0.213,0.189,0.168,0.506,0.556,0.45,"","",""
"MTSRCAMD","bsl","fivedasc_anx_total",0.075,0.151,0.076,0.816,0.64,0.731,"","",""
"MTSRCAMD","bsl","fivedasc_cimg_total",0.146,0.119,0.062,0.65,0.712,0.783,"","",""
"MTSRCAMD","bsl","fivedasc_eimg_total",-0.131,-0.056,-0.046,0.685,0.863,0.837,"","",""
"MTSRCAMD","bsl","fivedasc_av_total",-0.317,-0.245,-0.137,0.316,0.442,0.536,"","",""
"MTSRCAMD","bsl","fivedasc_per_total",0.127,0.375,0.321,0.693,0.23,0.149,"","",""
"MTSRCAMD","bsl","boundlessMean",0.397,0.452,0.321,0.201,0.14,0.149,"","",""
"MTSRCAMD","bsl","anxiousEgoMean",0.451,0.487,0.321,0.141,0.108,0.149,"","",""
"MTSRCAMD","bsl","visionaryMean",-0.078,-0.102,-0.076,0.809,0.753,0.731,"","",""
"MTSRFAMD","A7","age",0.717,0.692,0.545,0.009,0.016,0.014,"**","*","*"
"MTSRFAMD","A7","LED",0.1,-0.076,-0.029,0.798,0.846,0.916,"","",""
"MTSRFAMD","A7","severity",0.565,0.643,0.424,0.056,0.028,0.063,"","*",""
"MTSRFAMD","A7","fivedasc_util_total",0.412,0.392,0.242,0.184,0.21,0.311,"","",""
"MTSRFAMD","A7","fivedasc_sprit_total",0.495,0.441,0.303,0.102,0.154,0.197,"","",""
"MTSRFAMD","A7","fivedasc_bliss_total",0.506,0.538,0.364,0.093,0.075,0.116,"","",""
"MTSRFAMD","A7","fivedasc_insight_total",0.456,0.476,0.333,0.136,0.121,0.153,"","",""
"MTSRFAMD","A7","fivedasc_dis_total",0.381,0.266,0.182,0.221,0.404,0.459,"","",""
"MTSRFAMD","A7","fivedasc_imp_total",-0.081,-0.168,-0.091,0.803,0.604,0.737,"","",""
"MTSRFAMD","A7","fivedasc_anx_total",-0.011,-0.056,-0.061,0.972,0.869,0.841,"","",""
"MTSRFAMD","A7","fivedasc_cimg_total",0.21,0.077,0.076,0.512,0.812,0.731,"","",""
"MTSRFAMD","A7","fivedasc_eimg_total",-0.033,-0.028,-0.061,0.92,0.939,0.841,"","",""
"MTSRFAMD","A7","fivedasc_av_total",-0.167,-0.217,-0.121,0.604,0.499,0.638,"","",""
"MTSRFAMD","A7","fivedasc_per_total",0.115,0.357,0.273,0.722,0.256,0.25,"","",""
"MTSRFAMD","A7","boundlessMean",0.48,0.42,0.273,0.114,0.177,0.25,"","",""
"MTSRFAMD","A7","anxiousEgoMean",0.241,0.203,0.091,0.451,0.528,0.737,"","",""
"MTSRFAMD","A7","visionaryMean",0.026,-0.042,0,0.937,0.904,1,"","",""
"MTSRFAMD","B30","age",0.569,0.594,0.424,0.053,0.046,0.063,"","*",""
"MTSRFAMD","B30","LED",-0.116,-0.177,-0.029,0.766,0.648,0.916,"","",""
